horizon,model,valid_r2,valid_rmse,valid_mae,test_r2,test_rmse,test_mae
5,Random Forest,0.7963354213123643,160.13861780086594,83.82683830369754,0.39750279195079563,1802.0645858720607,764.0683470527788
5,Gradient Boosting,0.6861097935584951,198.80495610851682,110.4426372892898,0.2898392053449842,1956.460927630335,825.2586448725664
5,Ridge,0.17116675939614123,323.05160587272155,170.66035805630062,-0.025817302679384868,2351.407194727908,950.7629608774541
5,Linear,0.17107591165932656,323.0693100993728,170.67823127624703,-0.025922530948613964,2351.5277952303463,950.8989404484499
6,XGBoost,0.2671313262037289,303.8838477786783,190.33328364445612,0.07279423416085906,2239.8875235663077,820.7109945316126
6,Random Forest,0.6812103921657175,200.4225647504477,104.20492930991146,0.36511928954427697,1853.4642553630995,818.1572214524161
6,Gradient Boosting,0.4632300852841129,260.0690197469421,146.48474770462786,0.2947496692271564,1953.4837285268063,864.1162655828073
6,Ridge,0.14684568229909278,327.8750230673777,172.6146034591013,-0.08875696698018731,2427.189151963083,982.8445271336719
6,Linear,0.14678700026611913,327.8862988950194,172.61507774256492,-0.08882606629344703,2427.2661730282193,982.9698187673271
7,XGBoost,0.0628193987768001,343.73443330540084,203.22332239151,-0.09509927285647835,2439.0356320575606,944.6068996410464
7,Random Forest,0.5690141034696192,233.10034884625497,115.71863620047846,0.337402809834904,1897.2134490551412,810.4937513008892
7,Gradient Boosting,0.29462625305361434,298.20920162099446,154.23050695893028,0.29096035325941627,1962.5767955095537,763.9408799191779
7,Ridge,0.1428934912323907,328.7220152161865,173.41895240448017,-0.12911298433194363,2476.6241330866637,1006.316565486117
7,Linear,0.14282703092806914,328.7347595726091,173.41115208478988,-0.12913837673244544,2476.651981087347,1006.3983739932115
8,XGBoost,0.16444945135573352,324.6154617093183,193.99932034810385,-0.05643645049607948,2400.3555879382184,928.4562897872925
8,Random Forest,0.3750956134521747,280.7305160815461,143.98133978116624,0.25536879223012976,2015.2294950274593,779.350270378109
8,Gradient Boosting,0.2343296897323206,310.74470778701004,171.8771726621962,0.18215203569546257,2111.981854511656,790.9781220286959
8,Ridge,0.14985488685119186,327.4382185256157,174.66296950206913,-0.15243797038865892,2507.048141190303,1024.3315675832716
8,Linear,0.14980738509398683,327.44736618361765,174.64801977770188,-0.15243759188638073,2507.0477294876623,1024.3755073187733
9,XGBoost,0.012802516576041034,352.91199802720115,204.58281678419846,-0.15470982794898513,2514.5338827618816,988.2685861635448
9,Random Forest,0.19641015136333673,318.4062797983152,168.19311689034126,0.1020717113369527,2217.3889956008647,790.7815065195977
9,Gradient Boosting,0.21031345879304197,315.6398089040423,178.16129026479308,0.1427446837178583,2166.5871072716104,802.1799842847679
9,Ridge,0.16446123384827205,324.67414525042733,175.1504940875977,-0.16862279435968697,2529.6371897974764,1039.667477040611
9,Linear,0.16441126782208593,324.6838530192198,175.1568503292752,-0.16862433205509042,2529.638854068539,1039.7034187771203
10,XGBoost,0.008055232336196982,353.63544284599084,203.12284528292142,-0.15168085529608888,2516.3903105694685,989.5958500486431
10,Random Forest,0.07942149653981434,340.6767179182065,185.7241647550911,-0.04221190302667788,2393.8114775796644,875.2504299431225
10,Gradient Boosting,0.03169995562259309,349.3952655114696,195.86071327994853,-0.08238316850511329,2439.509117492573,906.3620501611044
10,Ridge,0.17379822021382285,322.74171540110467,175.52777216818052,-0.18036351714873056,2547.533005641461,1053.3555197374715
10,Linear,0.1737573878498595,322.74969053786424,175.5299536703888,-0.1803648920361518,2547.5344893242473,1053.3741878373526
11,XGBoost,0.006832453410942407,353.2303976249837,200.99427012908154,-0.1764335028476296,2548.553864268995,1013.5710395386982
11,Random Forest,0.052784605877831625,344.96194199517777,188.53755406185232,-0.09050532522543842,2453.714448851886,923.8714198998616
11,Gradient Boosting,0.013265000773897029,352.08463811390635,197.63917444249614,-0.12105518602078869,2487.84672959202,952.2230536247569
11,Ridge,0.17846589418062941,321.26218528443644,176.23086307029263,-0.18961632349977697,2562.793314204366,1066.2098555126242
11,Linear,0.17842719603667678,321.26975167991753,176.22825089672875,-0.18961729288473128,2562.794358378326,1066.2128870409867
12,XGBoost,0.0026059663615893847,351.764572309961,195.33960943955643,-0.17611797319110023,2553.625575649502,1016.9470591253164
12,Random Forest,0.04719395428794526,343.81194940378566,184.75165553218554,-0.10761627646656535,2478.1434391738603,942.2311681259486
12,Gradient Boosting,0.016003788072467384,349.39398812391113,191.6052601706233,-0.12661060511548738,2499.301751007376,960.6769525324368
12,Ridge,0.1785623882203209,319.2316972278965,174.7163819712244,-0.1974145725185701,2576.6417857495285,1078.5080587714524
12,Linear,0.17854383794948914,319.2353017627537,174.70684841146087,-0.19742169942151833,2576.6494537072417,1078.5264962756019
13,XGBoost,0.011793878760194998,346.2134758151409,188.79603659800995,-0.1782956630990764,2561.384601876827,1029.797534805689
13,Random Forest,0.025444985124951636,343.81385869392295,181.17350242365706,-0.1338121330147688,2512.5702014396247,971.7394483889283
13,Gradient Boosting,0.0991858175417708,330.5504903916652,176.81783738502745,-0.07828059785184749,2450.267784986047,920.9831509181928
13,Ridge,0.17344479547958302,316.63296712043393,171.41579700588298,-0.20367981827405912,2588.8276844870848,1089.2379798445186
13,Linear,0.1734040089224973,316.64077918743584,171.41718697332809,-0.20367664660309348,2588.8242737316305,1089.234300401583
